,url
0,<a href=https://www.zomato.com/bangalore/jalsa-banashankari?context=eyJzZSI6eyJlIjpbNTg2OTQsIjE4Mzc1NDc0IiwiNTkwOTAiLCIxODM4Mjk0NCIsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19><div>Jalsa</div></a>
1,<a href=https://www.zomato.com/bangalore/spice-elephant-banashankari?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwxODM3NTQ3NCwiNTkwOTAiLCIxODM4Mjk0NCIsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19><div>Spice Elephant</div></a>
2,<a href=https://www.zomato.com/SanchurroBangalore?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwiMTgzNzU0NzQiLDU5MDkwLCIxODM4Mjk0NCIsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19><div>San Churro Cafe</div></a>
3,<a href=https://www.zomato.com/bangalore/addhuri-udupi-bhojana-banashankari?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwiMTgzNzU0NzQiLCI1OTA5MCIsMTgzODI5NDQsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19><div>Addhuri Udupi Bhojana</div></a>
4,<a href=https://www.zomato.com/bangalore/grand-village-basavanagudi?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwiMTgzNzU0NzQiLCI1OTA5MCIsIjE4MzgyOTQ0IiwxODIyNDY3NiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19><div>Grand Village</div></a>
5,<a href=https://www.zomato.com/bangalore/timepass-dinner-basavanagudi?context=eyJzZSI6eyJlIjpbIjE4Mzc1NDc0IiwiNTkwOTAiLCIxODM4Mjk0NCIsIjE4MjI0Njc2Iiw1OTI4OSwiMTgzNzMzODYiXSwidCI6IlJlc3RhdXJhbnRzIGluIEJhbmFzaGFua2FyaSBzZXJ2aW5nIEJ1ZmZldCJ9fQ==><div>Timepass Dinner</div></a>
6,<a href=https://www.zomato.com/bangalore/rosewood-international-hotel-bar-restaurant-mysore-road-bangalore?context=eyJzZSI6eyJlIjpbIjU5MDkwIiwiMTgzODI5NDQiLCIxODIyNDY3NiIsIjU5Mjg5IiwxODM3MzM4Nl0sInQiOiJSZXN0YXVyYW50cyBpbiBCYW5hc2hhbmthcmkgc2VydmluZyBCdWZmZXQifX0=><div>Rosewood International Hotel - Bar & Restaurant</div></a>
7,<a href=https://www.zomato.com/bangalore/onesta-banashankari?context=eyJzZSI6eyJlIjpbMTg1NjU2NzksIjE4NTkzMDQ0IiwiMTgxNDg5NDEiLCIxODQ3MDc3MSIsIjE4NzE2MDYxIiwiMTg2MzI5NzciLCIxODIwMjk5NyIsIjU5MDkwIiwiMTg1NTkyMTEiLCIxODMyMzYzOSIsIjE4NTc0Mjc3Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=><div>Onesta</div></a>
8,<a href=https://www.zomato.com/bangalore/penthouse-cafe-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTY1Njc5IiwxODU5MzA0NCwiMTgxNDg5NDEiLCIxODQ3MDc3MSIsIjE4NzE2MDYxIiwiMTg2MzI5NzciLCIxODIwMjk5NyIsIjU5MDkwIiwiMTg1NTkyMTEiLCIxODMyMzYzOSIsIjE4NTc0Mjc3IiwiMTg3MjM0OTQiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEJhbmFzaGFua2FyaSJ9fQ==><div>Penthouse Cafe</div></a>
9,<a href=https://www.zomato.com/bangalore/smacznego-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTY1Njc5IiwiMTg1OTMwNDQiLDE4MTQ4OTQxLCIxODQ3MDc3MSIsIjE4NzE2MDYxIiwiMTg2MzI5NzciLCIxODIwMjk5NyIsIjU5MDkwIiwiMTg1NTkyMTEiLCIxODMyMzYzOSIsIjE4NTc0Mjc3IiwiMTg3MjM0OTQiLCIxODg2NzEyMiJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19><div>Smacznego</div></a>
10,<a href=https://www.zomato.com/bangalore/caf%C3%A9-down-the-alley-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTY1Njc5IiwiMTg1OTMwNDQiLCIxODE0ODk0MSIsMTg0NzA3NzEsIjE4NzE2MDYxIiwiMTg2MzI5NzciLCIxODIwMjk5NyIsIjU5MDkwIiwiMTg1NTkyMTEiLCIxODMyMzYzOSIsIjE4NTc0Mjc3IiwiMTg3MjM0OTQiLCIxODg2NzEyMiIsIjE4Njg4NDg5Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=><div>CafãÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley</div></a>
11,<a href=https://www.zomato.com/bangalore/cafe-shuffle-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTY1Njc5IiwiMTg1OTMwNDQiLCIxODE0ODk0MSIsIjE4NDcwNzcxIiwxODcxNjA2MSwiMTg2MzI5NzciLCIxODIwMjk5NyIsIjU5MDkwIiwiMTg1NTkyMTEiLCIxODMyMzYzOSIsIjE4NTc0Mjc3IiwiMTg3MjM0OTQiLCIxODg2NzEyMiIsIjE4Njg4NDg5IiwiMTg1MjkwOTAiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEJhbmFzaGFua2FyaSJ9fQ==><div>Cafe Shuffle</div></a>
12,<a href=https://www.zomato.com/bangalore/the-coffee-shack-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTkzMDQ0IiwiMTgxNDg5NDEiLCIxODQ3MDc3MSIsIjE4NzE2MDYxIiwxODYzMjk3NywiMTgyMDI5OTciLCI1OTA5MCIsIjE4NTU5MjExIiwiMTgzMjM2MzkiLCIxODU3NDI3NyIsIjE4NzIzNDk0IiwiMTg4NjcxMjIiLCIxODY4ODQ4OSIsIjE4NTI5MDkwIiwiNTYxNjYiLCI2MDkxOSIsIjE4Mzk2NzYwIiwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=><div>The Coffee Shack</div></a>
13,<a href=https://www.zomato.com/bangalore/caf-eleven-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4MTQ4OTQxIiwiMTg0NzA3NzEiLCIxODcxNjA2MSIsIjE4NjMyOTc3IiwxODIwMjk5NywiNTkwOTAiLCIxODU1OTIxMSIsIjE4MzIzNjM5IiwiMTg1NzQyNzciLCIxODcyMzQ5NCIsIjE4ODY3MTIyIiwiMTg2ODg0ODkiLCIxODUyOTA5MCIsIjU2MTY2IiwiNjA5MTkiLCIxODM5Njc2MCIsIjE4NTkzNTE5IiwiMTg1MDAwMjAiLCIxODg0NDI2MCIsIjU3OTk0IiwiNTUwOTAiLCI1NzQzNSJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19><div>Caf-Eleven</div></a>
14,<a href=https://www.zomato.com/SanchurroBangalore?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwiMTgzNzU0NzQiLDU5MDkwLCIxODM4Mjk0NCIsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19><div>San Churro Cafe</div></a>
